aluminium,ammonia,arsenic,barium,,chloramine,chromium,copper,flouride,bacteria,viruses,,,,mercury,,radium,,silver,uranium,outcome
0.08,19.17,0.05,0.76,,6.6,0.7,0.29,0.5,0.7,0.7,,,,1,,03.09,,0.38,0.02,0
0.04,9.2,0.01,1.74,,0.63,0.3,1.7,0.29,0.78,0.78,,,,6,,2.58,,0.4,0.04,0
0.35,5.19,0.02,2.66,,05.07,0.33,0.72,0.42,0.75,0.75,,,,5,,3.49,,0.38,0.03,0
0.13,16.35,0.03,2.9,,5.14,0.29,1.5,0.25,0.02,0,,,,9,,1.39,,0.11,0,0
0.01,02.01,1,1.6,,0.4,0.24,1.52,0.76,0.57,0.57,,,,2,,03.04,,0.2,0.08,0
0.29,5.43,0.04,2.34,,4.13,0.7,1.51,0.89,0.55,0.55,,,,1,,0.25,,0.01,0.09,0
0.06,22.29,0.05,1.87,,2.52,0.46,0.24,0.66,0.09,8,,,,6,,0.68,,0.09,0.02,1
0.15,29.72,0.02,1.4,,3.71,0.47,1.16,01.06,0.82,0.82,,,,1,,7.9,,0.5,0.04,0
0.03,25.2,0.04,01.01,,2.78,0.04,0.87,0.16,0.41,3,,,,8,,5.99,,0.4,0.05,0
0.10,19.73,0.03,1.11,,1.87,0.16,0.02,0.04,0.76,0.76,,,,6,,4.8,,0.41,0.02,0
0.05,23.18,0.04,3.65,,4.43,0.63,1.94,1.27,0.08,8,,,,5,,4.8,,0.22,0.07,0
0.06,23.58,1,0.57,,4.3,0.82,1.57,0.43,0.04,3,,,,5,,5.11,,0.2,0.03,0
0.12,23.37,0.05,1.65,,07.09,0.47,1.95,1.38,0.46,3,,,,9,,2.4,,0.35,0.02,0
0.02,17.84,0.01,3.94,,2.26,0.03,1.4,0.5,0.28,5,,,,1,,7.9,,0.28,0.03,0
0.05,10.36,0.01,3.29,,0.41,0.39,0.55,1.27,0.61,0.61,,,,9,,2.53,,0.37,0.05,0
0.09,1.36,0.04,3.45,,3.42,0.03,1.39,1.12,0.1,1,,,,9,,4.39,,0.11,0.07,0
0.18,26.04,0.03,1.94,,0.01,0.34,0.37,1.29,0.62,0.62,,,,7,,2.73,,0.03,0.08,0
0.01,21.58,0.04,2.9,,5.65,0.08,0.35,1.43,0.71,0.71,,,,4,,2.9,,0.46,0.03,0
0.01,1.36,0.01,3.2,,5.72,0.45,1.45,0.52,0.18,3,,,,7,,6.59,,0.34,0.01,0
0.07,13.59,0.03,3.16,,0.89,0.2,01.06,0.53,0.96,0.96,,,,2,,3.42,,0.15,0.03,0
0.10,19.49,0.04,1.36,,1.57,0.45,0.5,0.74,0.5,0.5,,,,8,,3.22,,0.32,0.04,0
0.05,27.47,0.01,1.8,,2.74,0.8,0.27,0.93,0.5,0.5,,,,2,,4.16,,0.11,0.02,0
0.10,9.79,1,1.6,,0.79,0.34,0.01,0.01,0.5,0.5,,,,7,,1.23,,0.01,0.02,1
0.07,17.13,0.01,2.63,,7.8,0.4,1.24,0.92,0.42,6,,,,4,,5.9,,0.21,0.01,0
0.06,11.66,0.04,0.86,,3.49,0.8,1.54,0.32,0.33,6,,,,9,,7.25,,0.28,0.08,0
0.00,11.02,0.01,3.64,,3.83,0.14,01.04,1.39,0.07,6,,,,8,,6.42,,0.43,0.05,0
0.02,5.66,1,0.87,,3.81,0.15,0.33,1.33,0.59,0.59,,,,8,,4.39,,0.39,0.01,0
0.14,04.08,0.04,0.57,,1.69,0.27,0.6,0.07,0.79,0.79,,,,0.01,,3.44,,0.44,0.04,0
0.05,16.05,0.01,0.29,,05.07,0.19,1.64,0.61,1,1,,,,6,,4.33,,0.28,0.08,0
0.08,14.96,0.01,0.17,,6.21,0,0.81,0.24,0.15,5,,,,2,,1.67,,0,0.03,1
0.21,27.52,0.01,3.15,,01.07,0.13,1.69,0.98,0.28,4,,,,8,,2.65,,0.4,0.01,0
0.02,29.27,0.05,01.03,,0.5,0.77,1.51,0.36,0.78,0.78,,,,8,,6.2,,0.12,0.07,0
0.08,1.34,0.02,1.82,,3.95,0.8,1.99,0.48,0.33,1,,,,0,,6.66,,0.16,0,0
0.13,9.34,0.04,1.39,,7.59,0.19,1.22,01.06,0.27,8,,,,7,,4.35,,0.41,0.07,0
0.08,14.48,0.02,1.14,,0.98,0.23,1.3,0.37,0.98,0.98,,,,8,,3.24,,0.44,0,0
0.08,5.48,0.05,3.58,,4.95,0.15,1.38,1.39,0.87,0.87,,,,1,,7.35,,0.44,0.08,0
0.08,23.24,0.03,3.35,,0.8,0.26,0.5,0.85,0.44,4,,,,7,,3.23,,0.03,0.02,0
0.31,26.12,0.03,3.57,,5.29,0.3,0.78,0.09,0.83,0.83,,,,9,,4.63,,0.18,0.05,0
0.05,20.65,0.02,2.69,,2.45,0.19,0.17,0.59,0.07,8,,,,8,,6.49,,0.31,0.09,0
0.26,18.41,0.05,2.36,,1.36,0.68,1.45,1.4,0.28,3,,,,2,,1.31,,0.18,0.04,0
0.17,16.77,0.03,1.81,,0.05,0.03,0.04,1.16,0.51,0.51,,,,6,,3.72,,0.14,0.08,0
0.01,12.46,0.05,02.01,,6.5,0.8,1.8,1.46,0.31,4,,,,6,,3.95,,0.44,0.07,0
0.07,23.41,0.02,1.63,,6.75,0.43,1.83,01.03,0.48,9,,,,2,,01.08,,0.27,0.02,0
0.05,19.29,0.03,0.56,,4.68,0.35,1.37,0.65,0.09,6,,,,8,,6.75,,0.42,0.02,0
0.25,28.08,0.02,3.93,,5.1,0.38,0.52,0.22,0.69,0.69,,,,4,,6.63,,0.14,0.07,0
0.02,14.44,0.02,1.72,,3.61,0.59,1.45,0.28,0.52,0.52,,,,6,,4.47,,0.02,0.08,0
0.14,4.63,0.04,1.31,,4.23,0.49,0.75,0.44,0.68,0.68,,,,2,,7.42,,0.3,0.04,0
0.34,4,0.02,0.28,,0.81,0.33,0.07,0.7,0.01,0,,,,6,,7.85,,0.13,0.08,0
0.07,02.03,0.01,03.09,,04.06,0.28,1.66,0.79,0.73,0.73,,,,6,,04.05,,0.24,0.05,0
0.01,8.76,0.01,1.93,,4.42,0.76,1.96,0.82,0.11,5,,,,0,,0.77,,0.33,0.01,0
0.01,17.66,0.01,0.12,,7.95,0.03,0.57,1.44,0.44,3,,,,9,,2.68,,0.3,0.07,0
0.06,5.8,1,1.99,,6.45,0.07,0.65,1.5,0.79,0.79,,,,2,,2.35,,0.31,0.06,0
0.09,19.45,0.05,2.42,,0.09,0.19,0.36,1.39,0.8,0.8,,,,1,,7.85,,0.05,0.08,0
0.02,18.17,0.03,3.33,,3.26,0.26,01.07,1.44,0.07,5,,,,6,,1.55,,0.04,0.08,0
0.09,21.76,0.01,2.53,,0.85,0.59,0.08,1.19,0.7,0.7,,,,0,,6.7,,0.42,0.02,0
0.14,16.01,0.01,2.57,,7.12,0.13,1.64,0.78,0.61,0.61,,,,9,,03.07,,0.11,0.03,0
0.09,1.66,0.05,2.79,,3.69,0.37,1.39,1.19,0.39,1,,,,9,,7.6,,0.48,0.02,0
0.28,6.47,0.02,0.78,,3.41,0.21,0.5,1.34,0.22,3,,,,1,,6.6,,0.42,0.07,0
0.14,1.86,0.04,1.84,,3.1,0.79,0.55,0.96,0.21,4,,,,3,,1.55,,0.15,0.04,0
0.06,25.59,0.02,03.03,,1.53,0.86,0.66,1,0.67,0.67,,,,4,,1.27,,0.4,0,0
0.09,8.13,0.02,3.51,,2.4,0.05,0.06,0.74,0.05,3,,,,3,,7.35,,0.36,0,0
0.07,26.64,1,0.19,,1.67,0.77,0.05,1.43,0.92,0.92,,,,7,,02.01,,0.23,0.01,0
0.03,20.38,0.04,3.53,,2.13,0.41,0.79,0.59,0.49,7,,,,2,,6.25,,0.35,0.09,0
0.27,9.92,0.01,1.98,,03.08,0.66,1.26,1.33,0.34,6,,,,0,,1.18,,0.42,0.01,0
0.09,28.24,0.01,0.78,,7.91,0.32,0.21,01.04,1,1,,,,9,,01.04,,0.04,0.03,1
0.03,20.19,0.04,3.34,,5.23,0.86,1.94,0.8,0.32,4,,,,0.01,,1.51,,0.27,0.04,0
0.09,10.16,0.01,2.91,,0.07,0.84,0.71,1.43,0.58,0.58,,,,9,,7.67,,0.23,0.01,0
0.00,2.15,0.03,1.99,,6.2,0.03,1.33,1,0.18,5,,,,6,,3.36,,0.27,0.06,0
0.04,28.59,0.03,2.16,,5.48,0.33,0.89,1.41,0.74,0.74,,,,9,,07.08,,0.14,0.01,0
0.03,21.68,0.03,03.04,,0.67,0.72,0.55,0.19,0.72,0.72,,,,4,,6.83,,0.25,0.03,0
0.03,8.71,0.04,3.48,,3.91,0.49,1.53,01.04,0.08,1,,,,7,,5.56,,0.03,0.08,0
0.25,19.6,0.03,02.01,,05.07,0.05,01.04,1.19,0.18,1,,,,8,,7.94,,0.36,0,0
0.03,8.62,0.04,0.33,,4.95,0.22,01.09,0.4,0.02,2,,,,8,,6.5,,0.15,0.04,0
0.07,2.34,0.03,2.39,,4.98,0.55,0.88,1.45,0.58,0.58,,,,7,,5.78,,0.26,0.01,0
0.21,22.21,0.02,02.07,,0.4,0.21,1.32,1.23,0.56,0.56,,,,7,,0.51,,0.2,0,0
0.04,18.93,0.01,2.22,,0.97,0.18,0.46,1.43,0.43,3,,,,5,,02.01,,0.25,0.06,0
0.28,19.07,0.04,1.18,,4.69,0.65,0.73,0.82,0.7,0.7,,,,7,,2.87,,0.01,0.04,0
0.06,18.04,0.01,0.69,,1.49,0.86,1.44,1.42,0.31,7,,,,2,,4.95,,0.07,0.06,0
0.08,23.51,0.04,0.82,,0.54,0.63,1.33,1.37,0.09,8,,,,1,,1.83,,0.03,0.02,1
0.05,24.07,0.05,2.76,,4.4,0.09,0.37,0.49,0.14,7,,,,0.01,,4.85,,0.18,0.02,0
0.15,15.61,0.02,2.15,,2.8,0.34,0.98,0.23,0.93,0.93,,,,7,,3.73,,0.28,0.05,0
0.04,12.48,1,2.99,,7.47,0.79,0.71,1.26,0.75,0.75,,,,6,,6.9,,0.39,0.07,0
0.06,23.76,0.03,0.76,,2.91,0.51,1.38,1.26,0.48,7,,,,0.01,,0.53,,0.09,0.06,0
0.03,13.34,0.01,2.13,,0.88,0.04,1.11,1.19,0.72,0.72,,,,1,,3.52,,0.42,0.02,0
0.07,22.36,0.04,2.93,,5.92,0.71,0.53,0.95,0.19,4,,,,6,,3.57,,0.01,0.05,0
0.01,11.64,0.03,2.56,,6.8,0.09,1.18,0.88,0.28,1,,,,3,,7.46,,0.03,0.07,0
0.05,25.9,0.01,2.56,,1.81,0.11,1.96,1.32,0.85,0.85,,,,2,,2.96,,0.32,0.09,0
0.08,21.3,1,0.33,,2.45,0.67,1.36,0.66,0.76,0.76,,,,6,,4.17,,0.17,0.04,0
0.03,25.13,0.03,01.05,,3.58,0.7,1.89,0.7,0.77,0.77,,,,4,,4.23,,0.47,0.05,0
0.10,12.32,0.02,3.93,,3.91,0.07,1.89,0.17,0.66,0.66,,,,9,,3.75,,0.32,0.02,0
0.03,14.3,0.02,1.92,,7.51,0.28,1.86,0.45,0.36,3,,,,3,,7.29,,0.02,0.01,0
0.10,25.07,1,3.33,,0.92,0.79,0.72,0.87,0.17,1,,,,4,,0.4,,0.31,0.04,0
0.03,28.82,0.03,0.7,,6.29,0.41,0.13,0.82,0.48,8,,,,0,,2.48,,0.1,0.02,1
0.01,25.24,0.02,0.48,,5.54,0.21,0.03,1.27,0.82,0.82,,,,9,,4.72,,0.2,0.07,0
0.02,4.3,0.05,03.06,,5.92,0.47,1.53,1.25,0.6,0.6,,,,2,,6.79,,0.12,0.04,0
0.10,28.24,0.04,3.57,,2.58,0.65,0.25,1.16,0.98,0.98,,,,7,,6.19,,0.17,0.07,0
0.25,24.86,0.03,0.62,,5.83,0.85,01.09,0.97,0.49,3,,,,6,,5.19,,0.08,0.08,0
0.24,0.38,1,3.34,,7.88,0.27,1.74,0.36,0.21,7,,,,2,,2.3,,0.22,0.06,0
0.09,8.21,1,3.35,,4.37,0.33,1.94,0.78,0.89,0.89,,,,8,,7.62,,0.33,0.04,0
0.04,0.28,0.02,1.71,,5.17,0.86,1.96,0.84,0.37,6,,,,0.01,,5.48,,0.15,0.01,0
0.07,23.74,0.02,2.64,,6.13,0.87,1.41,0.37,0.79,0.79,,,,7,,1.89,,0.13,0.08,0
0.13,29.8,0.03,1.88,,6.9,0.77,1.32,1.3,0.73,0.73,,,,1,,4.87,,0.49,0.03,0
0.15,14.1,0.01,2.39,,4.36,0.36,1.6,0.15,0.91,0.91,,,,6,,2.96,,0.33,0,0
0.09,27.54,1,1.19,,7.14,0.38,1.24,0.14,0.51,0.51,,,,0,,1.74,,0.15,0.01,0
0.07,9.72,0.05,3.29,,5.25,0.06,1.17,0.9,0.51,0.51,,,,0.01,,4.23,,0.03,0.01,1
0.05,2.97,0.01,1.35,,7.41,0.23,1.44,0.17,0.99,0.99,,,,8,,4.17,,0.18,0.03,0
0.22,6.92,0.03,1.13,,7.24,0.47,0.33,0.82,0.29,4,,,,4,,0.45,,0.3,0.05,0
0.25,0.98,0.02,1.62,,4.54,0.24,1.66,0.64,0.1,2,,,,7,,3.65,,0.37,0.02,0
0.00,8.24,0.03,1.92,,1.44,0.08,1.89,0.65,0.39,8,,,,1,,5.78,,0.04,0.07,0
0.08,15.18,0.03,2.54,,0,0.54,0.59,0.54,0.31,1,,,,2,,07.03,,0.08,0,0
0.02,8.71,0.05,2.46,,7.33,0.43,0.7,0.8,0.97,0.97,,,,1,,5.96,,0.08,0,0
0.20,16.65,0.03,2.57,,01.02,0.04,1.75,0.76,0.26,3,,,,0.01,,2.66,,0.27,0.04,0
0.29,17.82,0.01,2.9,,6.81,0.03,0.11,0.21,0.61,0.61,,,,0.01,,6.56,,0.06,0.05,0
0.00,22.43,0.03,0.89,,5.99,0.86,1.72,0.81,0.87,0.87,,,,4,,7.27,,0.24,0.05,0
0.09,2.8,0.03,1.89,,4.62,0.72,0.06,0.04,0.08,5,,,,1,,2.41,,0.04,0.04,0
0.09,1.5,1,3.69,,3.62,0.79,1.37,0.62,0.92,0.92,,,,7,,4.38,,0.29,0.05,0
0.02,22.13,0.03,2,,5.23,0.68,0.34,0.12,0.74,0.74,,,,2,,2.38,,0.19,0.04,0
0.04,7.34,0.01,0.47,,4.57,0.23,0.77,0.68,0.05,8,,,,4,,0.34,,0.34,0,0
0.07,13.72,0.04,1.28,,6.69,0.17,0.57,1.33,1,1,,,,4,,5.45,,0.48,0.08,0
0.05,2.2,0.02,2.28,,6.52,0.32,1.46,0.94,0.26,2,,,,5,,5.92,,0.11,0,0
0.09,5.43,0.04,3.14,,0.83,0.52,1.84,1.48,0.13,5,,,,2,,6.88,,0.47,0.08,0
0.05,10.11,0.01,1.41,,6.93,0.4,0.68,0.79,0.23,2,,,,9,,7.92,,0.33,0.02,0
0.01,27.65,1,2.34,,4.73,0.41,0.78,0.33,0.5,0.5,,,,2,,3.48,,0.42,0.02,0
0.06,25.58,0.02,03.04,,0.68,0.3,1.39,1.3,0.49,8,,,,9,,7.21,,0.22,0.08,0
0.36,20.28,0.05,3.52,,5.34,0.88,1.89,01.05,0.83,0.83,,,,1,,0.9,,0.04,0.07,0
0.02,21.13,0.02,3.2,,0.89,0.52,0.06,0.14,0.66,0.66,,,,6,,6.84,,0.46,0.05,0
0.24,10.47,0.01,3.83,,2.84,0.06,1.72,01.06,0.63,0.63,,,,5,,1.5,,0.07,0.02,1
0.04,11.84,0.05,2.74,,6.11,0.14,1.99,1.44,0.15,3,,,,0.01,,2.12,,0.49,0.04,0
0.02,9.9,0.04,1.4,,3.45,0.69,0.32,0.66,0.3,6,,,,2,,0.66,,0.05,0.03,1
0.03,18.48,0.03,2.17,,5.21,0.73,0.8,1.28,0.93,0.93,,,,3,,5.85,,0.49,0.09,0
0.01,6.54,0.04,1.91,,3.71,0.12,1.22,1.49,0.99,0.99,,,,2,,7.15,,0.44,0.03,0
0.13,24.6,0.01,3.73,,2.79,0.02,1.17,01.09,0.46,8,,,,4,,1.22,,0.03,0.08,0
0.03,5.79,1,0.62,,2.1,0.74,1.74,0.97,0.24,4,,,,6,,5.19,,0.44,0.08,0
0.35,0.65,0.04,0.7,,1.83,0.56,1.59,0.13,0.17,0,,,,0.01,,1.45,,0.12,0.02,0
0.03,9.84,0.02,1.53,,6.81,0.87,0.6,0.03,0.1,1,,,,1,,0.99,,0.07,0.05,0
0.11,22.35,0.04,1.33,,04.06,0.42,0.38,1.11,0.93,0.93,,,,2,,4.4,,0.45,0.05,0
0.01,25.46,0.04,1.37,,5.42,0.73,1.76,0.63,0.91,0.91,,,,7,,5.87,,0.01,0.06,0
0.18,12.12,0.04,1.81,,07.02,0.63,0.29,1.43,0.75,0.75,,,,6,,6.81,,0.49,0.07,0
0.10,12.66,0.04,0.48,,7.96,0.76,0.7,0.52,0.59,0.59,,,,4,,0.51,,0.35,0.07,0
0.09,27.45,0.03,0.74,,07.07,0.52,1.69,0.96,0.25,1,,,,5,,2.36,,0.43,0.01,0
0.00,7.89,0.04,2.47,,6.55,0.06,0.67,0.63,0.48,3,,,,2,,6.35,,0.17,0.07,0
0.05,7.87,0.02,0.23,,6.76,0.28,0.36,0.45,0.79,0.79,,,,8,,1.1,,0.33,0.06,0
0.24,22.69,0.04,3.61,,1.66,0.33,1.68,0.48,0.62,0.62,,,,4,,1.38,,0.28,0.02,0
0.03,7.96,0.01,1.22,,3.5,0.1,1.32,0.87,0.61,0.61,,,,9,,2.6,,0.05,0.09,0
0.02,9.63,0.02,1.95,,7.16,0.15,01.04,0.58,0.5,0.5,,,,5,,4.25,,0.24,0.01,0
0.01,25.51,0.04,0.07,,06.04,0.68,0.07,0.13,0.44,8,,,,3,,5.43,,0.1,0.04,0
0.17,3.98,0.01,2.8,,6.47,0.08,0.85,1.16,0.36,5,,,,0.01,,6.47,,0.48,0.01,0
0.11,25.53,0.02,0.25,,6.99,0.61,1.67,1.19,0.86,0.86,,,,9,,3.12,,0.05,0.03,0
0.08,28.85,0.01,0.96,,1.37,0.65,0.72,0.57,0.37,7,,,,3,,2.14,,0.49,0.09,0
0.09,22.74,0.02,0.01,,7.75,0.06,0.28,0.28,0.19,0,,,,9,,6.93,,0.26,0.02,0
0.08,2.1,0.05,2.69,,3.47,0.4,1.71,1.4,0.95,0.95,,,,7,,06.07,,0.19,0.08,0
0.07,3.2,0.04,0.73,,7.17,0.01,0.7,1.43,0.35,4,,,,2,,5.26,,0.47,0.03,0
0.15,12.22,0.04,1.81,,2.16,0.55,0.56,1.29,0.64,0.64,,,,8,,0.3,,0.01,0.09,0
0.19,10.37,0.01,2.38,,6.68,0.8,01.07,1.35,0.39,3,,,,3,,5.82,,0.36,0.04,0
0.02,02.09,0.01,3.89,,1.48,0.18,0.66,0.88,0.68,0.68,,,,2,,5.33,,0.38,0.05,0
0.08,26.15,0.02,2.3,,01.09,0.4,1.17,1.31,0.57,0.57,,,,7,,2.38,,0.22,0.02,0
0.14,28.42,0.03,03.01,,0.57,0.32,0.29,0.67,0.65,0.65,,,,0.01,,5.15,,0.32,0.07,0
0.17,4.69,0.04,0.17,,1.87,0.69,1.49,0.75,0.66,0.66,,,,7,,6.53,,0.07,0.09,0
0.17,4.82,0.05,0.46,,4.6,0.04,0.29,1.28,0.96,0.96,,,,3,,7.74,,0.4,0.07,0
0.07,2.58,0.03,0.51,,5.67,0.68,1.25,0.29,0.78,0.78,,,,6,,03.04,,0.32,0.06,0
0.09,23.19,0.01,0.37,,04.01,0.16,1.34,0.36,0.84,0.84,,,,7,,4.78,,0.09,0.05,0
0.19,1.53,0.01,1.11,,3.74,0.41,0.85,0.82,0.9,0.9,,,,9,,4.47,,0.19,0,0
0.04,13.81,0.03,0.68,,05.06,0.47,1.21,01.09,0.77,0.77,,,,4,,0.89,,0.04,0.08,0
0.01,15.67,0.01,2.19,,0.75,0.39,0.76,0.24,0.28,7,,,,1,,3.75,,0.02,0.06,0
0.06,26.41,0.01,0.39,,7.55,0.33,1.34,1.43,0.37,7,,,,5,,2.52,,0.23,0.03,0
0.08,08.07,0.04,1.37,,0.76,0.85,0.39,1.47,0.58,0.58,,,,2,,0.59,,0.33,0.04,0
0.09,18.64,0.01,01.07,,1.77,0.76,1.72,01.07,0.96,0.96,,,,5,,2.18,,0.15,0.02,0
0.08,7.23,0.03,1.46,,3.61,0.26,1.86,0.42,0.15,3,,,,5,,6.36,,0.27,0.06,0
0.02,2.59,0.04,3.81,,1.63,0.58,1.35,01.06,0.22,7,,,,5,,2.78,,0.16,0.03,0
0.14,25.93,0.04,3.16,,5.61,0.2,1.58,0.15,0.72,0.72,,,,8,,3.22,,0.07,0.09,0
0.04,18.82,0.05,0.77,,3.33,0.3,01.09,1.35,0.38,6,,,,0.01,,6.33,,0.06,0.07,0
0.12,12.25,1,1.81,,2.74,0.04,0.4,1.16,0.87,0.87,,,,8,,7.15,,0.18,0.08,0
0.08,24.23,0.03,3.38,,1.98,0.78,1.18,0.07,0.77,0.77,,,,9,,01.07,,0.16,0.06,0
0.23,1.72,0.04,2.83,,0.49,0.25,0.31,1.29,0.56,0.56,,,,2,,0.98,,0.21,0.08,0
0.20,11.18,0.01,0.52,,1.6,0.61,0.84,0.55,0.78,0.78,,,,3,,2.44,,0.04,0.07,0
0.30,6.44,1,03.07,,6.56,0.18,0.33,0.22,0.31,8,,,,7,,3.14,,0.38,0.06,0
0.07,9.69,0.03,3.68,,6.78,0.12,1.44,0.63,0.23,4,,,,3,,7.28,,0.24,0.02,0
0.01,5.52,0.03,1.68,,03.04,0.19,0.66,0.59,0.65,0.65,,,,8,,6.36,,0.4,0.04,0
0.04,01.05,0.01,2.28,,1.26,0.04,0.14,0.77,0.24,3,,,,5,,0.99,,0.49,0.08,0
0.09,10.91,1,1.68,,5.95,0.02,1.15,0.53,0.66,0.66,,,,1,,5.66,,0.17,0.02,0
0.12,5.36,0.03,3.48,,4.38,0.28,1.96,0.5,0.5,0.5,,,,4,,7.77,,0.12,0.06,0
0.05,9.66,0.02,2.27,,7.83,0.03,0.34,1.4,0.56,0.56,,,,9,,6.53,,0.05,0.03,0
0.34,5.1,0.02,1.79,,7.43,0.05,0.15,1.19,0.61,0.61,,,,1,,0.53,,0.06,0.01,1
0.00,3.82,0.04,0.58,,0.71,0.1,1.6,0.83,0.68,0.68,,,,9,,7.22,,0.49,0.05,0
0.06,11.11,1,2.17,,06.03,0.45,0.22,0.79,0.59,0.59,,,,1,,6.14,,0.4,0.05,0
0.02,26.96,0.02,3.67,,5.58,0.12,1.41,0.92,0.93,0.93,,,,5,,5.24,,0.15,0.07,0
0.08,0.47,0.03,1.69,,3,0.18,0.7,0.57,0.3,5,,,,8,,5.93,,0.47,0.03,0
0.25,2.5,0.03,3.15,,3.25,0.86,1.79,0.59,0.25,8,,,,6,,4.23,,0.39,0.04,0
0.06,8.4,1,2.3,,4.79,0.2,0.37,0.36,0.41,2,,,,3,,0.6,,0.31,0.06,0
0.02,28.85,0.04,3.4,,5.23,0.22,0.51,0.07,0.12,6,,,,1,,3.74,,0.27,0.01,0
0.06,03.07,0.03,2.83,,3.49,0.13,1.22,0.46,0.37,4,,,,5,,5.64,,0.15,0.08,0
0.27,28.71,0.02,1.12,,3.48,0.78,1.59,01.01,0.3,8,,,,4,,4.96,,0.27,0.08,0
0.09,19.64,0.04,3.8,,6.66,0.6,0.79,0.32,0.64,0.64,,,,1,,7.8,,0.16,0.05,0
0.17,10.27,0.05,03.01,,6.84,0.67,0.36,1.31,0.64,0.64,,,,6,,7.73,,0.27,0.01,0
0.08,14.44,1,0.16,,7.58,0.71,0.67,0.73,0.92,0.92,,,,9,,7.19,,0.2,0,0
0.06,24.1,0.05,2.89,,3.95,0.56,0.92,01.09,0.75,0.75,,,,9,,1.78,,0.42,0.01,0
0.09,23.69,0.04,3.79,,2.63,0.4,0.76,0.62,0.65,0.65,,,,5,,5.22,,0.48,0.02,0
0.05,24.44,0.03,01.08,,2.2,0.88,0.13,0.06,0.58,0.58,,,,7,,1.63,,0.01,0.06,0
0.28,28.18,0.04,0.26,,2.11,0.65,0.62,0.44,0.31,2,,,,4,,2.12,,0.37,0.02,0
0.16,18.23,1,0.85,,7.99,0.83,1.33,01.07,0.35,4,,,,9,,3.51,,0.25,0.09,0
0.06,7.2,0.04,3.95,,4.78,0.38,0.86,1.3,0.89,0.89,,,,4,,7.67,,0.5,0.06,0
0.07,16.83,0.03,3.51,,4.73,0.41,0.66,0.4,0.25,3,,,,0.01,,2.73,,0.45,0.04,0
0.23,8.81,0.05,2.42,,2.37,0.76,1.89,0.95,0.36,3,,,,4,,0.91,,0.11,0.06,0
0.01,11.85,0.05,1.97,,5.68,0.77,01.02,1.34,0.62,0.62,,,,6,,4.53,,0.29,0.06,0
0.04,4.74,0.02,3.51,,0.19,0.65,1.47,0.21,0.33,5,,,,1,,0.06,,0.04,0.05,0
0.11,21.4,0.05,0.81,,6.49,0.82,1.97,0.85,0.56,0.56,,,,3,,6.2,,0.21,0.03,0
0.04,5.71,0.01,0.8,,4.22,0.01,0.85,0.24,0.49,1,,,,4,,0.18,,0.18,0.05,0
0.07,25.94,0.02,1.19,,1.91,0.54,0.53,0.05,0.32,2,,,,5,,4.62,,0.12,0.05,0
0.23,22.25,0.01,3.52,,6.37,0.54,0.81,1.25,0.15,2,,,,7,,2.19,,0.37,0.04,0
0.03,22.55,0.02,3.85,,3.67,0.17,0.79,0.34,0.21,1,,,,9,,4.78,,0.1,0.01,1
0.05,19.31,1,0.47,,7.89,0.43,1.84,0.75,0.92,0.92,,,,4,,5.84,,0.38,0.09,0
0.14,9.92,0.02,2.78,,5.4,0.1,01.09,0.37,0.53,0.53,,,,9,,5.69,,0.38,0.09,0
0.10,11.86,0.03,2.65,,2.21,0.57,1.81,0.38,0.09,6,,,,7,,6.11,,0.24,0,0
0.08,11.63,0.02,0.87,,1.42,0.77,0.27,1.45,0.84,0.84,,,,0,,3.92,,0.03,0.05,0
0.24,13.81,0.01,0.43,,4.84,0.24,0.69,0.45,0.03,5,,,,0,,0.41,,0.39,0.04,0
0.02,4.97,0.01,1.67,,3.7,0.49,0.41,1.22,0.29,6,,,,1,,5.73,,0.18,0.05,0
0.01,16.14,0.04,0.53,,3.79,0.64,01.02,0.03,0.73,0.73,,,,2,,6.32,,0.04,0.07,0
0.07,9.54,0.04,1.72,,6.89,0.56,1.15,0.77,0.77,0.77,,,,0,,1.95,,0.32,0,0
0.06,24.03,0.01,3,,0.29,0.74,1.63,1.35,0.69,0.69,,,,9,,3.66,,0.26,0.05,0
0.10,20.46,0.02,3.79,,7.18,0.49,1.16,0.4,0.25,2,,,,0.01,,5.83,,0.24,0.04,0
0.12,14.13,0.04,3.88,,0.71,0.48,0.18,0.74,0.19,5,,,,8,,4.51,,0.05,0.02,1
0.26,23.88,0.04,3.74,,3.44,0.84,1,1.38,0.68,0.68,,,,8,,4.54,,0.09,0.07,0
0.01,23.34,0.04,3.39,,2.67,0.46,0.4,0.88,0.59,0.59,,,,3,,1.75,,0.23,0.06,0
0.07,1.34,0.02,1.99,,04.02,0.15,1.43,0.68,0.42,5,,,,1,,2.6,,0.2,0.01,0
0.05,7.26,0.04,0.22,,6.12,0.49,0.1,0.86,0.4,3,,,,1,,6.28,,0.1,0.05,0
0.03,28.89,0.03,2.45,,7.12,0.06,0.66,0.03,0.62,0.62,,,,0.01,,5.82,,0.17,0.03,0
0.02,6.54,0.01,3.69,,0.1,0.57,0.06,0.36,0.28,4,,,,6,,2.82,,0.15,0.06,0
0.16,17.55,0.04,0.69,,1.27,0.38,0.41,0.72,0.25,7,,,,0.01,,2.97,,0.1,0.02,1
0.08,16.32,0.02,0.9,,0.83,0.36,0.25,0.11,0.71,0.71,,,,4,,04.01,,0.23,0.03,0
